OrderID,CustomerID,OrderDate,ProductType,OrderValue
ORDER00435,CUST0295,8/1/2025,Flyer,10.32
ORDER00630,CUST0153,8/1/2025,Greeting Card,4.29
ORDER00985,CUST0146,8/1/2025,Poster,14.49
ORDER00023,CUST0001,8/3/2025,Greeting Card,4.68
ORDER00301,CUST0282,8/3/2025,Flyer,11.29
ORDER00319,CUST0289,8/3/2025,Greeting Card,5.36
ORDER00538,CUST0012,8/3/2025,Greeting Card,5.12
ORDER00842,CUST0234,8/3/2025,Flyer,11.76
ORDER00945,CUST0263,8/3/2025,Poster,14.66
ORDER00460,CUST0009,8/4/2025,Canvas Print,36.28
ORDER00442,CUST0260,8/5/2025,Canvas Print,33.6
ORDER00556,CUST0278,8/5/2025,Poster,17.52
ORDER00087,CUST0157,8/6/2025,Greeting Card,5.91
ORDER00228,CUST0285,8/6/2025,Photo Book,21.48
ORDER00339,CUST0291,8/6/2025,Photo Book,22.15
ORDER00361,CUST0089,8/6/2025,Greeting Card,5.65
ORDER00499,CUST0114,8/6/2025,Business Card,12.69
ORDER00354,CUST0264,8/7/2025,Canvas Print,41.01
ORDER00832,CUST0217,8/7/2025,Poster,16.03
ORDER00731,CUST0213,8/8/2025,Greeting Card,4.62
ORDER00860,CUST0289,8/8/2025,Poster,16.46
ORDER00937,CUST0144,8/8/2025,Flyer,11.77
ORDER00133,CUST0202,8/9/2025,Greeting Card,4.77
ORDER00176,CUST0286,8/9/2025,Flyer,10.13
ORDER00316,CUST0152,8/9/2025,Canvas Print,32.1
ORDER00611,CUST0012,8/9/2025,Poster,14.49
ORDER00736,CUST0220,8/9/2025,Photo Book,20.16
ORDER00158,CUST0154,8/10/2025,Photo Book,23.4
ORDER00164,CUST0118,8/10/2025,Poster,15.58
ORDER00322,CUST0239,8/10/2025,Photo Book,22.42
ORDER00573,CUST0251,8/10/2025,Greeting Card,4.92
ORDER00468,CUST0216,8/11/2025,Canvas Print,34.91
ORDER00518,CUST0045,8/11/2025,Business Card,12.19
ORDER00808,CUST0108,8/11/2025,Greeting Card,4.41
ORDER00169,CUST0224,8/12/2025,Poster,15.48
ORDER00320,CUST0250,8/12/2025,Photo Book,21.13
ORDER00560,CUST0192,8/12/2025,Poster,12.09
ORDER00717,CUST0183,8/12/2025,Canvas Print,34
ORDER00795,CUST0171,8/12/2025,Flyer,11.96
ORDER00363,CUST0143,8/14/2025,Poster,13.63
ORDER00392,CUST0171,8/14/2025,Poster,17.07
ORDER00761,CUST0008,8/14/2025,Photo Book,28.16
ORDER00106,CUST0218,8/15/2025,Canvas Print,38.6
ORDER00300,CUST0292,8/15/2025,Canvas Print,46.99
ORDER00479,CUST0123,8/15/2025,Flyer,11.52
ORDER00723,CUST0037,8/15/2025,Business Card,10.62
ORDER00943,CUST0132,8/15/2025,Photo Book,20.08
ORDER00449,CUST0226,8/16/2025,Flyer,8.13
ORDER00489,CUST0226,8/16/2025,Poster,17.62
ORDER00627,CUST0024,8/18/2025,Business Card,11.65
ORDER00874,CUST0089,8/18/2025,Flyer,8.82
ORDER00119,CUST0051,8/19/2025,Poster,16.97
ORDER00997,CUST0293,8/19/2025,Business Card,11.21
ORDER00021,CUST0076,8/20/2025,Business Card,11.83
ORDER00227,CUST0036,8/20/2025,Business Card,13.11
ORDER00791,CUST0257,8/20/2025,Business Card,10.16
ORDER00902,CUST0265,8/20/2025,Greeting Card,4.85
ORDER00200,CUST0247,8/21/2025,Greeting Card,5.96
ORDER00081,CUST0216,8/22/2025,Poster,17.29
ORDER00256,CUST0014,8/24/2025,Business Card,14.01
ORDER00370,CUST0199,8/25/2025,Business Card,13.9
ORDER00914,CUST0228,8/26/2025,Business Card,13.6
ORDER00980,CUST0019,8/26/2025,Poster,15.19
ORDER00094,CUST0292,8/27/2025,Poster,17.23
ORDER00625,CUST0199,8/27/2025,Business Card,13.05
ORDER00858,CUST0232,8/27/2025,Greeting Card,5.33
ORDER00341,CUST0229,8/28/2025,Flyer,11.04
ORDER00521,CUST0191,8/28/2025,Poster,16.14
ORDER00662,CUST0080,8/29/2025,Flyer,10.19
ORDER00714,CUST0173,8/29/2025,Business Card,10.07
ORDER00781,CUST0261,8/29/2025,Poster,14.14
ORDER00882,CUST0102,8/29/2025,Photo Book,20.77
ORDER00076,CUST0123,8/30/2025,Canvas Print,39.21
ORDER00265,CUST0004,8/30/2025,Canvas Print,39.62
ORDER00274,CUST0128,8/30/2025,Flyer,8.12
ORDER00302,CUST0029,8/30/2025,Canvas Print,44.95
ORDER00324,CUST0227,8/30/2025,Poster,12.87
ORDER00405,CUST0247,8/31/2025,Greeting Card,6
ORDER00675,CUST0154,8/31/2025,Business Card,11.09
