OrderID,CustomerID,OrderDate,ProductType,OrderValue,,,
ORDER00115,CUST0127,12/2/2025,Flyer,8.69,,,
ORDER00306,CUST0011,12/2/2025,Poster,14.39,,,
ORDER00508,CUST0289,12/2/2025,Business Card,10.93,,,
ORDER00762,CUST0100,12/3/2025,Greeting Card,5,,,
ORDER00815,CUST0001,12/3/2025,Greeting Card,5.1,,,
ORDER00855,CUST0145,12/3/2025,Poster,15.7,,,
ORDER00928,CUST0275,12/3/2025,Photo Book,22.1,,,
ORDER00059,CUST0067,12/4/2025,Canvas Print,45.5,,,
ORDER00124,CUST0267,12/4/2025,Business Card,11.75,,,
ORDER00327,CUST0154,12/4/2025,Flyer,8.84,,,
ORDER00524,CUST0007,12/4/2025,Poster,13.38,,,
ORDER00709,CUST0243,12/4/2025,Poster,13.03,,,
ORDER00151,CUST0180,12/5/2025,Business Card,12.12,,,
ORDER00382,CUST0103,12/5/2025,Greeting Card,5.81,,,
ORDER00546,CUST0017,12/5/2025,Greeting Card,4.78,,,
ORDER00963,CUST0220,12/5/2025,Poster,14.09,,,
ORDER00268,CUST0109,12/6/2025,Flyer,8.01,,,
ORDER00338,CUST0039,12/6/2025,Photo Book,20.34,,,
ORDER00552,CUST0224,12/6/2025,Photo Book,29.53,,,
ORDER00311,CUST0232,12/7/2025,Greeting Card,4.61,,,
ORDER00996,CUST0150,12/7/2025,Flyer,9.07,,,
ORDER00250,CUST0215,12/8/2025,Business Card,11.05,,,
ORDER00373,CUST0250,12/8/2025,Poster,14.04,,,
ORDER00477,CUST0267,12/8/2025,Canvas Print,42.61,,,
ORDER00586,CUST0039,12/8/2025,Canvas Print,34.85,,,
ORDER00638,CUST0214,12/8/2025,Greeting Card,5.09,,,
ORDER00766,CUST0014,12/8/2025,Photo Book,28.51,,,
ORDER00909,CUST0153,12/8/2025,Flyer,8.14,,,
ORDER00961,CUST0277,12/9/2025,Flyer,8.31,,,
ORDER00091,CUST0095,12/10/2025,Greeting Card,5.44,,,
ORDER00109,CUST0210,12/10/2025,Greeting Card,5.78,,,
ORDER00700,CUST0003,12/10/2025,Business Card,12.62,,,
ORDER00137,CUST0063,12/11/2025,Greeting Card,5.09,,,
ORDER00589,CUST0157,12/11/2025,Photo Book,22.54,,,
ORDER00933,CUST0239,12/11/2025,Business Card,14.04,,,
ORDER00516,CUST0169,12/12/2025,Canvas Print,37.4,,,
ORDER00821,CUST0161,12/12/2025,Flyer,8.27,,,
ORDER00071,CUST0254,12/13/2025,Greeting Card,5.76,,,
ORDER00167,CUST0049,12/13/2025,Flyer,10.12,,,
ORDER00517,CUST0269,12/13/2025,Business Card,13.08,,,
ORDER00657,CUST0088,12/13/2025,Greeting Card,4.93,,,
ORDER00161,CUST0084,12/14/2025,Greeting Card,4.01,,,
ORDER00334,CUST0061,12/15/2025,Poster,15.5,,,
ORDER00708,CUST0025,12/15/2025,Photo Book,27.08,,,
ORDER00854,CUST0114,12/15/2025,Greeting Card,5.45,,,
ORDER00422,CUST0003,12/16/2025,Flyer,10.92,,,
ORDER00471,CUST0227,12/16/2025,Poster,14.05,,,
ORDER00673,CUST0077,12/16/2025,Canvas Print,32.83,,,
ORDER00862,CUST0147,12/16/2025,Canvas Print,46.24,,,
ORDER00991,CUST0108,12/16/2025,Photo Book,21.18,,,
ORDER00116,CUST0106,12/17/2025,Canvas Print,42.21,,,
ORDER00453,CUST0262,12/17/2025,Photo Book,22.67,,,
ORDER00870,CUST0063,12/17/2025,Greeting Card,4.46,,,
ORDER00030,CUST0291,12/18/2025,Flyer,10.71,,,
ORDER00329,CUST0201,12/18/2025,Flyer,9.61,,,
ORDER00062,CUST0015,12/19/2025,Business Card,11.7,,,
ORDER00037,CUST0089,12/20/2025,Business Card,11.87,,,
ORDER00314,CUST0055,12/20/2025,Canvas Print,41.23,,,
ORDER00395,CUST0015,12/20/2025,Poster,13.53,,,
ORDER00757,CUST0040,12/20/2025,Poster,16.85,,,
ORDER00805,CUST0044,12/20/2025,Greeting Card,5.11,,,
ORDER00841,CUST0126,12/20/2025,Business Card,10.62,,,
ORDER00143,CUST0210,12/21/2025,Photo Book,25.79,,,
ORDER00198,CUST0178,12/21/2025,Canvas Print,47.53,,,
ORDER00576,CUST0029,12/21/2025,Business Card,13.27,,,
ORDER00055,CUST0104,12/22/2025,Canvas Print,40.59,,,
ORDER00086,CUST0261,12/22/2025,Flyer,10.87,,,
ORDER00216,CUST0120,12/22/2025,Photo Book,25.83,,,
ORDER00413,CUST0245,12/22/2025,Canvas Print,44.33,,,
ORDER00582,CUST0226,12/22/2025,Poster,15.31,,,
ORDER00749,CUST0243,12/22/2025,Greeting Card,4.62,,,
ORDER00817,CUST0035,12/22/2025,Business Card,10.29,,,
ORDER00065,CUST0289,12/23/2025,Canvas Print,32.71,,,
ORDER00210,CUST0264,12/23/2025,Photo Book,25.07,,,
ORDER00278,CUST0017,12/23/2025,Greeting Card,5.53,,,
ORDER00356,CUST0081,12/23/2025,Flyer,11.67,,,
ORDER00410,CUST0227,12/23/2025,Poster,14.86,,,
ORDER00679,CUST0090,12/23/2025,Flyer,11.04,,,
ORDER00774,CUST0130,12/23/2025,Flyer,8.77,,,
ORDER00039,CUST0042,12/24/2025,Greeting Card,4.54,,,
ORDER00866,CUST0069,12/25/2025,Greeting Card,5.63,,,
ORDER00884,CUST0102,12/25/2025,Business Card,11.3,,,
ORDER00585,CUST0099,12/26/2025,Canvas Print,44.93,,,
ORDER00357,CUST0215,12/27/2025,Business Card,13.06,,,
ORDER00403,CUST0034,12/27/2025,Greeting Card,4.95,,,
